,ID,Nome,Sexo,Idade,Altura,Peso,Team,NOC,Jogos,Ano,Estação,City,Esporte,Event,Medalha
1668,925,Adenzia Aparecida Ferreira da Silva,F,25.0,187.0,65.0,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Gold
1856,1020,Adriana Aparecida dos Santos,F,25.0,180.0,61.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Silver
1857,1020,Adriana Aparecida dos Santos,F,29.0,180.0,61.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Bronze
1863,1023,"Adriana ""Adrianinha"" Moiss Pinto",F,21.0,170.0,65.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Bronze
4457,2546,Alessandra dos Santos de Oliveira,F,22.0,200.0,85.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Silver
4458,2546,Alessandra dos Santos de Oliveira,F,26.0,200.0,85.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Bronze
4805,2750,Aline Pellegrino,F,22.0,180.0,71.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,Silver
6440,3612,Ana Flvia Chritaro Daniel Sanglard,F,26.0,187.0,73.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze
6447,3615,Ana Paula Rodrigues Connelly (-Rodrigues Henkel),F,24.0,183.0,68.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze
7329,4101,Andria Suntaque,F,26.0,175.0,65.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,Silver
7330,4101,Andria Suntaque,F,30.0,175.0,65.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Silver
14312,7716,Brbara Seixas de Freitas,F,29.0,178.0,67.0,Brazil-1,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Silver
14313,7717,Brbara Micheline do Monte Barbosa,F,20.0,171.0,71.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Silver
17468,9307,gatha Bednarczuk Rippel,F,33.0,182.0,70.0,Brazil-1,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Silver
17627,9394,Adriana Brando Behar,F,31.0,180.0,64.0,Brazil-1,BRA,2000 Summer,2000,Summer,Sydney,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Silver
17628,9394,Adriana Brando Behar,F,35.0,180.0,64.0,Brazil-1,BRA,2004 Summer,2004,Summer,Athina,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Silver
28160,14601,"Maria Anglica ""Branca"" Gonalves da Silva",F,30.0,170.0,68.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Silver
35850,18420,"Carolina ""Carol"" Demartini de Albuquerque",F,31.0,182.0,76.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
41940,21615,Cntia Silva dos Santos,F,21.0,195.0,83.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Silver
41941,21615,Cntia Silva dos Santos,F,25.0,195.0,83.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Bronze
42469,21909,Cludia Maria Pastor,F,25.0,192.0,84.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Silver
42470,21910,"Cludia Maria ""Cludinha"" das Neves",F,25.0,170.0,67.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Bronze
46177,23834,Cristiane Rozeira de Souza Silva,F,19.0,176.0,69.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,Silver
46178,23834,Cristiane Rozeira de Souza Silva,F,23.0,176.0,69.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Silver
47975,24724,Mayra Aguiar da Silva,F,20.0,177.0,78.0,Brazil,BRA,2012 Summer,2012,Summer,London,Judo,Judo Women's Half-Heavyweight,Bronze
47976,24724,Mayra Aguiar da Silva,F,25.0,177.0,78.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Half-Heavyweight,Bronze
48910,25208,Daniela Alves Lima,F,20.0,171.0,66.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,Silver
48911,25208,Daniela Alves Lima,F,24.0,171.0,66.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Silver
62829,32207,Elaine Estrela Moura,F,21.0,167.0,61.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,Silver
62996,32292,Elisngela Almeida de Oliveira,F,21.0,184.0,78.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Women's Volleyball,Bronze
64266,32920,rika Cristiano dos Santos,F,20.0,172.0,55.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Silver
65046,33293,Ester Aperecida dos Santos,F,25.0,164.0,56.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Silver
65709,33630,"Fabiana ""Fabi"" Alvim de Oliveira",F,28.0,169.0,59.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
65710,33630,"Fabiana ""Fabi"" Alvim de Oliveira",F,32.0,169.0,59.0,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Gold
65723,33637,Fabiana da Silva Simes,F,19.0,161.0,56.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Silver
65727,33638,Fabiana Marcelino Claudino,F,23.0,193.0,76.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
65728,33638,Fabiana Marcelino Claudino,F,27.0,193.0,76.0,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Gold
68006,34735,Fernanda Porto Venturini,F,25.0,180.0,66.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze
68341,34900,"Fernanda ""Fernandinha"" Ferreira",F,32.0,172.0,66.0,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Gold
69414,35372,"Ericlia ""Fil"" Bodziak",F,26.0,192.0,84.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze
70731,36017,"Hlia ""Fofo"" Rogrio de Souza Pinto",F,26.0,173.0,63.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze
70732,36017,"Hlia ""Fofo"" Rogrio de Souza Pinto",F,30.0,173.0,63.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Women's Volleyball,Bronze
70734,36017,"Hlia ""Fofo"" Rogrio de Souza Pinto",F,38.0,173.0,63.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
71247,36289,"Miraildes ""Formiga"" Maciel Mota",F,26.0,162.0,53.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,Silver
71248,36289,"Miraildes ""Formiga"" Maciel Mota",F,30.0,162.0,53.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Silver
72041,36651,Francielle Manoel Alberto,F,18.0,161.0,61.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Silver
75752,38457,Fernanda Garay Rodrigues,F,26.0,181.0,75.0,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Gold
83719,42559,Grazielle Pinheiro Guimares Nascimento,F,23.0,162.0,54.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,Silver
93605,47390,Helen Cristina Santos Luz,F,27.0,175.0,61.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Bronze
96064,48638,Hilma Aparecida Caldeira,F,24.0,182.0,74.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze
98869,50041,Hortncia Maria de Ftima Marcari Oliva,F,36.0,174.0,60.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Silver
102025,51607,Ana Ida Margarita  Alvarez Vieira,F,31.0,177.0,60.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze
105956,53600,Janeth dos Santos Arcain,F,27.0,182.0,67.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Silver
105957,53600,Janeth dos Santos Arcain,F,31.0,182.0,67.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Bronze
106112,53677,Janina Dia Chagas da Conceio,F,27.0,192.0,82.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Women's Volleyball,Bronze
106506,53867,"Jaqueline Maria ""Jaque"" Pereira de Carvalho Endres",F,24.0,186.0,71.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
106507,53867,"Jaqueline Maria ""Jaque"" Pereira de Carvalho Endres",F,28.0,186.0,71.0,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Gold
111171,56248,Juliana Ribeiro Cabral,F,22.0,169.0,60.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,Silver
111172,56249,Juliana Felisberta da Silva,F,29.0,177.0,63.0,Brazil-1,BRA,2012 Summer,2012,Summer,London,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Bronze
113635,57563,Karin Rodrigues,F,28.0,187.0,77.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Women's Volleyball,Bronze
114473,57972,Ktia Andreia Caldeira Lopes,F,27.0,172.0,64.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Women's Volleyball,Bronze
115577,58558,Kelly Silva dos Santos,F,20.0,193.0,92.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Bronze
115650,58595,Kelly Cristina Pereira da Silva,F,19.0,164.0,55.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,Silver
115684,58609,Kely Kolasco Fraga,F,25.0,193.0,79.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Women's Volleyball,Bronze
117932,59674,"rika Kelly ""Kiki"" Pereira Coimbra",F,20.0,179.0,67.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Women's Volleyball,Bronze
122812,62079,"Renata Aparacida ""Kki"" da Costa",F,18.0,171.0,68.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,Silver
122813,62079,"Renata Aparacida ""Kki"" da Costa",F,22.0,171.0,68.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Silver
132551,66721,Larissa Frana Maestrini,F,30.0,174.0,68.0,Brazil-1,BRA,2012 Summer,2012,Summer,London,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Bronze
136151,68490,Leila de Souza Sobral Freitas,F,21.0,187.0,83.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Silver
136154,68491,Leila de Gomes de Barros,F,24.0,179.0,72.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze
136155,68491,Leila de Gomes de Barros,F,28.0,179.0,72.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Women's Volleyball,Bronze
139054,69856,Lilian Cristina Lopes Gonalves,F,21.0,186.0,68.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Bronze
140131,70353,"Danielle ""Dani"" Rodrigues Lins",F,27.0,183.0,71.0,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Gold
149187,74833,"Mrcia Regina ""Mrcia Fu"" Cunha",F,26.0,185.0,80.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze
