,ID,Nome,Sexo,Idade,Altura,Peso,Team,NOC,Jogos,Ano,Estação,City,Esporte,Event,Medalha
1669,925,Adenzia Aparecida Ferreira da Silva,F,29.0,187.0,65.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,
1855,1020,Adriana Aparecida dos Santos,F,21.0,180.0,61.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Women's Basketball,
1864,1023,"Adriana ""Adrianinha"" Moiss Pinto",F,25.0,170.0,65.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball,
1865,1023,"Adriana ""Adrianinha"" Moiss Pinto",F,29.0,170.0,65.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,
1866,1023,"Adriana ""Adrianinha"" Moiss Pinto",F,33.0,170.0,65.0,Brazil,BRA,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,
1867,1023,"Adriana ""Adrianinha"" Moiss Pinto",F,37.0,170.0,65.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,
4319,2465,Eliana Maria Nagib Aleixo,F,26.0,172.0,63.0,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Women's Volleyball,
4459,2546,Alessandra dos Santos de Oliveira,F,30.0,200.0,85.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball,
4804,2749,Aline Villares Reis,F,27.0,162.0,60.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,
4806,2750,Aline Pellegrino,F,30.0,180.0,71.0,Brazil,BRA,2012 Summer,2012,Summer,London,Football,Football Women's Football,
5486,3097,Maria Suelen Altheman,F,23.0,175.0,110.0,Brazil,BRA,2012 Summer,2012,Summer,London,Judo,Judo Women's Heavyweight,
